                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.7038,                 1.0991,                 1.2696,                0.38126,                0.47951,                0.43429,                0.20876,                 1.6855,                 1.4851,                 1.1418,               0.001118,               0.001118,               0.001118
                     35,                 1.6926,                 1.0752,                 1.2467,                0.44418,                0.46888,                 0.4478,                0.21563,                 1.6798,                 1.1636,                 1.1469,              0.0011139,              0.0011139,              0.0011139
                     36,                 1.6947,                 1.0747,                 1.2622,                0.43523,                0.48044,                0.44429,                0.22737,                 1.5755,                  1.255,                 1.1188,              0.0011098,              0.0011098,              0.0011098
                     37,                 1.6826,                 1.0777,                 1.2566,                 0.5047,                0.46817,                0.47045,                0.23583,                 1.5985,                 1.0078,                 1.1205,              0.0011056,              0.0011056,              0.0011056
                     38,                 1.6806,                 1.0649,                 1.2532,                0.48833,                0.46965,                0.46492,                0.22581,                 1.6353,                  1.056,                 1.1389,              0.0011015,              0.0011015,              0.0011015
                     39,                 1.6544,                 1.0513,                  1.247,                0.44885,                0.49526,                0.46652,                 0.2327,                 1.5696,                 1.0746,                 1.1148,              0.0010974,              0.0010974,              0.0010974
                     40,                  1.652,                  1.056,                 1.2522,                0.47206,                0.49868,                0.47417,                  0.237,                  1.579,                0.95653,                 1.1213,              0.0010933,              0.0010933,              0.0010933
                     41,                 1.6379,                 1.0279,                 1.2352,                0.47113,                0.48945,                0.45588,                0.23263,                 1.5823,                 1.0309,                 1.1126,              0.0010891,              0.0010891,              0.0010891
                     42,                 1.6558,                 1.0525,                 1.2485,                0.50364,                0.52446,                0.48155,                 0.2467,                 1.5459,                0.96385,                 1.1143,               0.001085,               0.001085,               0.001085
                     43,                 1.6422,                 1.0067,                 1.2194,                0.48909,                0.48561,                0.47762,                0.24108,                 1.5523,                 1.1348,                 1.1169,              0.0010809,              0.0010809,              0.0010809
                     44,                 1.6416,                 1.0147,                 1.2225,                0.47646,                0.50085,                0.47126,                0.23497,                 1.5842,                 1.1698,                 1.1154,              0.0010768,              0.0010768,              0.0010768
                     45,                 1.6296,                 1.0011,                 1.2219,                0.57572,                0.50987,                0.50229,                 0.2548,                 1.5734,                0.94782,                 1.1129,              0.0010726,              0.0010726,              0.0010726
                     46,                  1.621,                 1.0062,                 1.2297,                0.51471,                 0.5008,                0.49275,                0.25026,                 1.5486,                0.98886,                 1.1087,              0.0010685,              0.0010685,              0.0010685
                     47,                 1.6125,                0.98542,                 1.2075,                0.51137,                0.49158,                0.48698,                0.24394,                 1.5806,                 1.0017,                  1.115,              0.0010644,              0.0010644,              0.0010644
                     48,                 1.6014,                0.96063,                 1.2109,                0.49924,                0.51587,                0.48484,                0.24773,                 1.5451,                 1.0403,                  1.107,              0.0010603,              0.0010603,              0.0010603
                     49,                 1.6182,                 1.0208,                  1.233,                0.47156,                0.50962,                  0.478,                 0.2357,                 1.6095,                 1.0085,                 1.1202,              0.0010561,              0.0010561,              0.0010561
                     50,                 1.6121,                0.99162,                 1.2141,                0.52539,                0.50161,                 0.4985,                 0.2497,                 1.5361,                0.95863,                 1.1032,               0.001052,               0.001052,               0.001052
                     51,                 1.5999,                0.97433,                 1.2097,                0.54281,                0.52689,                0.50734,                0.25741,                 1.5332,                0.96043,                 1.1061,              0.0010479,              0.0010479,              0.0010479
                     52,                 1.6079,                0.97981,                 1.2055,                0.48076,                0.51592,                 0.4762,                0.24783,                  1.527,                 1.0063,                 1.0981,              0.0010438,              0.0010438,              0.0010438
                     53,                 1.6303,                 1.0145,                 1.2221,                 0.5152,                0.50007,                0.49022,                0.24905,                 1.5131,                0.92316,                 1.0981,              0.0010396,              0.0010396,              0.0010396
                     54,                 1.5803,                0.94327,                 1.2052,                0.54517,                0.54344,                0.50627,                0.25964,                 1.5004,                0.93051,                 1.0973,              0.0010355,              0.0010355,              0.0010355
                     55,                 1.5867,                0.96098,                 1.1925,                0.55565,                0.49591,                  0.501,                0.25829,                 1.5242,                0.90277,                 1.0942,              0.0010314,              0.0010314,              0.0010314
                     56,                 1.5722,                0.97542,                  1.211,                0.52465,                0.49067,                0.48682,                0.24903,                 1.5432,                 1.1122,                  1.102,              0.0010273,              0.0010273,              0.0010273
                     57,                 1.5957,                0.97569,                 1.2097,                0.51056,                0.52144,                0.50153,                0.26023,                 1.5105,                0.96619,                 1.0964,              0.0010231,              0.0010231,              0.0010231
                     58,                 1.5681,                0.95752,                 1.2029,                0.58668,                0.50753,                0.51885,                0.25727,                 1.5812,                 1.0207,                 1.1052,               0.001019,               0.001019,               0.001019
                     59,                 1.5833,                0.97787,                 1.2071,                0.55226,                0.52783,                0.50379,                0.26009,                 1.4946,                0.91528,                 1.0992,              0.0010149,              0.0010149,              0.0010149
                     60,                 1.5759,                0.95179,                 1.1987,                0.56795,                0.53076,                0.52658,                0.26939,                 1.5218,                0.89858,                 1.0943,              0.0010107,              0.0010107,              0.0010107
                     61,                 1.5841,                0.97573,                 1.2165,                0.56077,                0.51515,                0.51277,                0.26562,                  1.482,                0.88011,                 1.0892,              0.0010066,              0.0010066,              0.0010066
                     62,                 1.5784,                0.97283,                 1.2146,                0.55594,                  0.515,                0.49883,                0.25458,                 1.5653,                0.92373,                 1.0965,              0.0010025,              0.0010025,              0.0010025
                     63,                 1.5582,                0.93639,                 1.1791,                0.57902,                0.52937,                0.53111,                0.27131,                 1.5041,                0.87837,                 1.0915,             0.00099837,             0.00099837,             0.00099837
                     64,                 1.5632,                0.94126,                 1.1993,                0.53991,                0.52793,                0.52953,                0.26926,                 1.4988,                0.97111,                 1.0959,             0.00099425,             0.00099425,             0.00099425
                     65,                 1.5588,                0.92496,                 1.1786,                0.54415,                0.53218,                0.50585,                0.26509,                 1.4803,                0.91773,                 1.0863,             0.00099013,             0.00099013,             0.00099013
                     66,                 1.5554,                0.93104,                 1.1911,                0.56427,                 0.5294,                0.51744,                0.27042,                 1.4681,                0.86065,                 1.0854,               0.000986,               0.000986,               0.000986
                     67,                 1.5456,                0.92825,                 1.1888,                0.56803,                0.55587,                0.52749,                0.27655,                 1.4755,                0.85666,                 1.0897,             0.00098187,             0.00098187,             0.00098187
                     68,                 1.5487,                0.92802,                 1.1877,                  0.577,                0.54012,                0.54569,                0.28316,                 1.4602,                  1.025,                 1.0842,             0.00097775,             0.00097775,             0.00097775
                     69,                 1.5292,                0.91302,                 1.1779,                0.56262,                0.52782,                0.51768,                0.26359,                 1.5099,                0.96592,                 1.0894,             0.00097362,             0.00097362,             0.00097362
                     70,                 1.5417,                0.90605,                 1.1731,                0.62567,                0.52842,                0.53991,                 0.2783,                 1.4734,                0.87095,                 1.0866,              0.0009695,              0.0009695,              0.0009695
